Date,bullets#,teargas#,rubber bullets#,bean bag rounds#,sponge grenades#,police_injuries#,arrested&,bullets_cumulative,tg_cumulative,rubber_cumulative,bean_cumulative,sponge_cumulative,popo_cumulative,arrested_cumulative
2019-06-09,0,0,0,0,0,1,0,0,0,0,0,0,10,21
2019-06-10,0,0,0,0,0,9,21,0,0,0,0,0,10,32
2019-06-11,0,0,0,0,0,0,11,0,240,19,3,33,32,65
2019-06-12,0,240,19,3,33,22,33,0,240,19,3,33,32,66
2019-06-13,0,0,0,0,0,0,1,0,240,19,3,33,32,66
2019-06-14,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-15,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-16,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-17,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-18,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-19,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-20,0,0,0,0,0,0,0,0,240,19,3,33,32,66
2019-06-21,0,0,0,0,0,0,0,0,240,19,3,33,33,66
2019-06-22,0,0,0,0,0,1,0,0,240,19,3,33,33,66
2019-06-23,0,0,0,0,0,0,0,0,240,19,3,33,33,66
2019-06-24,0,0,0,0,0,0,0,0,240,19,3,33,33,66
2019-06-25,0,0,0,0,0,0,0,0,240,19,3,33,34,67
2019-06-26,0,0,0,0,0,1,1,0,240,19,3,33,34,67
2019-06-27,0,0,0,0,0,0,0,0,240,19,3,33,34,67
2019-06-28,0,0,0,0,0,0,0,0,240,19,3,33,34,67
2019-06-29,0,0,0,0,0,0,0,0,240,19,3,33,34,73
2019-06-30,0,0,0,0,0,0,6,0,267,19,3,39,49,92
2019-07-01,0,27,0,0,6,15,19,0,267,19,3,39,54,95
2019-07-02,0,0,0,0,0,5,3,0,267,19,3,39,54,105
2019-07-03,0,0,0,0,0,0,10,0,267,19,3,39,55,105
2019-07-04,0,0,0,0,0,1,0,0,267,19,3,39,55,105
2019-07-05,0,0,0,0,0,0,0,0,267,19,3,39,55,105
2019-07-06,0,0,0,0,0,0,0,0,267,19,3,39,59,109
2019-07-07,0,0,0,0,0,4,4,0,267,19,3,39,60,112
2019-07-08,0,0,0,0,0,1,3,0,267,19,3,39,60,112
2019-07-09,0,0,0,0,0,0,0,0,267,19,3,39,60,114
2019-07-10,0,0,0,0,0,0,2,0,267,19,3,39,60,121
2019-07-11,0,0,0,0,0,0,7,0,267,19,3,39,60,123
2019-07-12,0,0,0,0,0,0,2,0,267,19,3,39,76,127
2019-07-13,0,0,0,0,0,16,4,0,267,19,3,39,87,174
2019-07-14,0,0,0,0,0,11,47,0,267,19,3,39,92,178
2019-07-15,0,0,0,0,0,5,4,0,267,19,3,39,92,179
2019-07-16,0,0,0,0,0,0,1,0,267,19,3,39,92,180
2019-07-17,0,0,0,0,0,0,1,0,267,19,3,39,92,183
2019-07-18,0,0,0,0,0,0,3,0,267,19,3,39,92,186
2019-07-19,0,0,0,0,0,0,3,0,267,19,3,39,92,195
2019-07-20,0,0,0,0,0,0,9,0,322,28,3,64,96,197
2019-07-21,0,55,9,0,25,4,2,0,322,28,3,64,98,205
2019-07-22,0,0,0,0,0,2,8,0,322,28,3,64,98,211
2019-07-23,0,0,0,0,0,0,6,0,322,28,3,64,98,213
2019-07-24,0,0,0,0,0,0,2,0,322,28,3,64,98,214
2019-07-25,0,0,0,0,0,0,1,0,322,28,3,64,98,216
2019-07-26,0,0,0,0,0,0,2,0,440,58,4,97,103,226
2019-07-27,0,118,30,1,33,5,10,0,848,153,6,147,104,284
2019-07-28,0,408,95,2,50,1,58,0,848,153,6,147,105,289
2019-07-29,0,0,0,0,0,1,5,0,848,153,6,147,126,295
2019-07-30,0,0,0,0,0,21,6,0,848,153,6,147,127,297
2019-07-31,0,0,0,0,0,1,2,0,848,153,6,147,127,309
2019-08-01,0,0,0,0,0,0,12,0,848,153,6,147,127,321
