"event_id","date","time","link","type","district","location1","location2","location3","location4","location5","location6","location7","location8","location9","location10","location11","location12","location13"
1,2019-06-12,"17:00:00","https://t.me/DemosistoOfficial/913","assembly","中西區","政府總部",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2019-06-14,"19:00:00","https://t.me/CivilHumanRightsFront/77","assembly","中西區","遮打花園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2019-06-16,"14:30:00","https://t.me/CivilHumanRightsFront/99","march","灣仔區,中西區","維多利亞公園","金鐘添美道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2019-06-16,"21:00:00","https://t.me/cusunews/206,https://t.me/poly9999999/689","march","中西區","太古廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2019-06-16,"15:00:00","https://t.me/poly9999999/585","assembly","中西區,灣仔區","立法會綜合大樓","維多利亞公園","金鐘添美道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2019-06-17,"11:00:00","https://t.me/DemosistoOfficial/967","assembly","中西區","愛丁堡廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2019-06-23,"20:00:00","https://t.me/CivilHumanRightsFront/242","assembly","中西區","立法會綜合大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2019-06-26,"20:00:00","https://t.me/CivilHumanRightsFront/237,https://t.me/seekforg20help/3,https://t.me/DemosistoOfficial/1054,https://t.me/antielabfactchecking/236","assembly","中西區","愛丁堡廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2019-06-26,"09:00:00","https://t.me/CivilHumanRightsFront/237,https://t.me/seekforg20help/3,https://t.me/DemosistoOfficial/1054,https://t.me/antielabfactchecking/236","assembly","中西區","遮打花園","英國領事館","美國領事館",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2019-06-27,"10:00:00","https://t.me/antielabfactchecking/236","assembly","中西區","律政中心",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019-06-27,"12:00:00","https://t.me/antielabfactchecking/236","assembly","中西區","警政大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2019-06-27,"10:00:00","https://t.me/antielabfactchecking/239","others","中西區","律政中心",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2019-06-27,"12:00:00","https://t.me/antielabfactchecking/239","others","灣仔區","警政大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2019-06-28,"19:00:00","https://t.me/antielabfactchecking/244,https://t.me/antielabfactchecking/245","assembly","中西區","立法會綜合大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2019-06-29,"15:00:00","https://t.me/antielabfactchecking/244,https://t.me/antielabfactchecking/245","assembly","中西區","立法會綜合大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2019-07-01,"14:30:00","https://t.me/CivilHumanRightsFront/266,https://t.me/CivilHumanRightsFront/275,https://t.me/cusunews/460,https://t.me/poly9999999/1632","march","中西區,灣仔區","政府總部","維多利亞公園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019-07-01,"22:00:00","https://t.me/cusunews/460,https://t.me/poly9999999/1632","march","中西區","立法會綜合大樓",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019-07-01,"13:30:00","https://t.me/poly9999999/1632","march","灣仔區","維多利亞公園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019-07-03,"19:00:00","https://t.me/shojosupportchannel/7","assembly","東區","柴灣邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2019-07-05,"19:00:00","https://t.me/CivilHumanRightsFront/304,https://t.me/antielabfactchecking/288,https://t.me/antiextraditionverifiednews/782","assembly","中西區","遮打花園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2019-07-05,"15:00:00","https://t.me/CivilHumanRightsFront/304,https://t.me/antielabfactchecking/288,https://t.me/antiextraditionverifiednews/782","assembly","中西區","中央廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2019-07-05,"20:30:00","https://t.me/antiextraditionverifiednews/782","assembly","北區","嘉福邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2019-07-05,"15:00:00","https://t.me/antiextraditionverifiednews/782","assembly","大埔區","香港教育大學",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2019-07-06,"13:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","screening","黃大仙區","彩虹邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2019-07-06,"12:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","screening","觀塘區","觀塘站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2019-07-06,"18:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","screening","東區","環翠邨","柴灣邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2019-07-06,"18:00:00","https://t.me/shojosupportchannel/42","wall","東區","環翠邨","柴灣邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2019-07-06,"17:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","screening","沙田區","大圍站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2019-07-06,"17:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","wall","沙田區","大圍站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2019-07-06,"14:00:00","https://t.me/shojosupportchannel/42","screening","荃灣區","荃灣站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2019-07-06,"14:00:00","https://t.me/shojosupportchannel/42","screening","中西區","石山街",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,2019-07-06,"09:00:00","https://t.me/shojosupportchannel/42","screening","中西區","香港大學",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,2019-07-06,"15:00:00","https://t.me/antielabfactchecking/288,https://t.me/antiextraditionverifiednews/782","assembly","中西區","中央廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2019-07-06,"21:00:00","https://t.me/antielabfactchecking/288,https://t.me/antiextraditionverifiednews/782","assembly","中西區","愛丁堡廣場",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2019-07-06,"15:00:00","https://t.me/antielabfactchecking/288,https://t.me/antiextraditionverifiednews/782","assembly","大埔區","香港教育大學",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,2019-07-06,"21:00:00","https://t.me/antielabfactchecking/288","assembly","屯門區","屯門公園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2019-07-06,"15:00:00","https://t.me/antielabfactchecking/288","memorial","屯門區","新和里遊樂場","屯門公園",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2019-07-07,"15:00:00","https://t.me/shojosupportchannel/4,https://t.me/shojosupportchannel/7,https://t.me/antiextraditionverifiednews/782","assembly","油尖旺區","梳士巴利道花園","西九梳士巴利道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2019-07-07,"16:00:00","https://t.me/antielabfactchecking/288","march","油尖旺區","梳士巴利道花園","西九梳士巴利道",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2019-07-07,"13:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","screening","黃大仙區","彩虹邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2019-07-07,"12:00:00","https://t.me/shojosupportchannel/40,https://t.me/shojosupportchannel/42","screening","觀塘區","觀塘站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2019-07-07,"18:00:00","https://t.me/shojosupportchannel/42","wall","東區","環翠邨","柴灣邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,2019-07-07,"18:00:00","https://t.me/shojosupportchannel/42","wall","沙田區","沙田",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2019-07-07,"17:00:00","https://t.me/shojosupportchannel/42","screening","沙田區","大圍站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,2019-07-07,"14:00:00","https://t.me/shojosupportchannel/42","screening","荃灣區","荃灣站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2019-07-07,"14:00:00","https://t.me/shojosupportchannel/42","screening","中西區","石山街",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2019-07-07,"09:00:00","https://t.me/shojosupportchannel/42","screening","中西區","香港大學",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2019-07-09,"18:00:00","https://t.me/shojosupportchannel/55","wall","觀塘區","啟田邨 啟田商場","啟田邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2019-07-09,"13:00:00","https://t.me/shojosupportchannel/57","wall","觀塘區","藍田",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2019-07-09,"13:00:00","https://t.me/shojosupportchannel/57","screening","觀塘區","藍田",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,2019-07-09,"18:00:00","https://t.me/shojosupportchannel/57","screening","觀塘區","啟田邨 啟田商場","啟田邨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2019-07-09,"14:00:00","https://t.me/shojosupportchannel/55","wall","油尖旺區","九龍站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2019-07-09,"16:00:00","https://t.me/shojosupportchannel/55","wall","油尖旺區","九龍站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2019-07-09,"13:00:00","https://t.me/shojosupportchannel/57","screening","荃灣區","大窩口站",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
